SA Code,Entity,DM,Owner Group,Owner / Contact,Feb Actual Rev,Feb Actual NOI,Priority,Action Needed
ESC43,PSS Citronelle,Joey,24/7 Pilot (need budget),Pat Barberio / 247 Storeit,,,Check,No actuals in Translucent — confirm site active in QBO
ESC35,PSS Munford,Joey,24/7 Pilot (need budget),Pat Barberio / 247 Storeit,,,Check,No actuals in Translucent — confirm site active in QBO
SA42,OSG Cocoa,Ashley,OSG (On Solid Ground),Ira / On Solid Ground,90559,41475,High,Request 2026 budget from Ira
SA43,OSG Coleman (Villages),Ashley,OSG (On Solid Ground),Ira / On Solid Ground,48778,19455,High,Request 2026 budget from Ira
SA29+,TriLink Lumberton,Keith,TriLink (sub-sites missing),Scott / TriLink,86010,22414,High,Upload individual Lumberton sub-site budgets (Gavintown Linkhaw Starlite)
MD32,Outer Banks Self Storage,Keith,TriLink (sub-sites missing),Scott / TriLink,19926,17481,Med,Confirm if separate from TriLink Lumberton consolidated
SA40,Ocean City Self Storage,Chevis,Ibex / Apex,Nick Marsch / Apex Storage,30931,9520,Med,Request 2026 budget from Nick Marsch
SA41,Verona Storage,Chevis,Ibex / Apex,Nick Marsch / Apex Storage,22105,12840,Med,Request 2026 budget from Nick Marsch
SA32,Olive Branch Self Storage,Lisa,Olive Branch (Westdale),Justin Lavine / Westdale Capital,42443,31308,High,Request 2026 budget from Justin Lavine
WSC37,Pampa Storage Center,Chevis,ENCA Properties (Apex),ENCA Properties,20108,8818,Med,Request 2026 budget from ENCA Properties
WSC25,Amarillo Storage Center,Chevis,ENCA Properties (Apex),ENCA Properties,14908,13554,Low,Request 2026 budget from ENCA Properties
W06,Lemolo Holdings,Ernie,Lemolo Holdings,Owner (via Ernie),34791,19788,Med,Request 2026 budget — contact via Ernie
MD33,Georgesville Self Storage,Keith,Georgesville,Owner (via Keith),31075,5087,Med,Request 2026 budget — contact via Keith
NE14,Zelienople,Michael,Storage Point (Zelienople),Sami Weber / Storage Point Capital,30588,11585,Med,Check if budget file exists with Sami Weber
SA27,A-Less / Emerald Coast,Joey,A-Less,Owner (via Joey),29383,5669,Med,Request 2026 budget — contact via Joey
MD09,Arnold Self Storage,Larissa,Arnold (Gary Peterson),Gary Peterson,29365,-22746,High,REQUEST BUDGET — FLAG: -$22.7k NOI major loss site
WSC16,Park Forest Self Storage,Chevis,Park Forest,Owner (via Chevis),26338,3431,Med,Request 2026 budget — contact via Chevis
WSC39,Premier East Conway,Ernie,Premier (East Conway),Owner (via Ernie),25030,13399,Med,Check if covered by Premier budget file — may need separate entity
MD06,Topeka Self Storage,Bob,Topeka,Owner (via Bob),24363,11567,Low,Request 2026 budget — contact via Bob
SA44,Battlefield Storage,Ashley,Battlefield,Andrew Hibbard / Atlantic Capital,23537,10623,Med,Request 2026 budget from Andrew Hibbard
W07,Cove Holdings,Ernie,Cove Holdings,Owner (via Ernie),22326,2615,Low,Request 2026 budget — contact via Ernie
WSC35,Basecamp RV,Chevis,Basecamp (Redd Properties),Matt Redd / Redd Properties,19549,8999,Low,Request 2026 budget from Matt Redd
ESC30,Parker Property Mgmt,Lisa,Parker,Owner (via Lisa),18944,5453,Low,Request 2026 budget — contact via Lisa
MD21,FAIRPLAINSHOLDINGS,Ernie,Fairplains Holdings,David Sillman / Fairplains,17893,10198,Low,Request 2026 budget from David Sillman
MD22,Marengo Storage,Larissa,Marengo,Owner (via Larissa),13450,-5280,Med,REQUEST BUDGET — FLAG: -$5.3k NOI currently loss-making
NE19,Telford Self Storage,Michael,Telford / Mt Joy,Owner (via Michael),11488,14668,Low,Budget uploaded but ramp model only — verify actual Feb figures
,Stash and Dash,Joey,Stash and Dash,Owner (via Joey),7529,9200,Low,Request 2026 budget — contact via Joey
,Premier HSV,Joey,Premier HSV,Owner (via Joey),3890,17018,Low,Check if covered by Premier budget file
,Radiant BPT 210,Bob,Radiant (no actuals),Radiant Storage,,,Check,No actuals in Translucent — verify QuickBooks entity setup
,Radiant BPT 6045,Bob,Radiant (no actuals),Radiant Storage,,,Check,No actuals in Translucent — verify QuickBooks entity setup
